"Bacterial_human_pathogens","state","pathogen_class"
"Bacteroides tectus","alias",4
"Bacteroides thetaiotaomicron",,3
"Bacteroides uniformis",,4
"Bacteroides ureolyticus","alias",4
"Bacteroides vulgatus",,4
"Balneatrix alpica",,4
"Bartonella bacilliformis",,4
"Bartonella clarridgeiae",,4
"Bartonella elizabethae",,4
"Bartonella henselae",,3
"Bartonella quintana",,4
"Bartonella rochalimae",,3
"Bartonella schoenbuchensis",,4
"Bartonella vinsonii arupensis",,4
"Bergeyella zoohelcum",,4
"Bifidobacterium adolescentis",,4
"Bifidobacterium angulatum",,4
"Bifidobacterium bifidum",,4
"Bifidobacterium breve",,3
"Bifidobacterium denticolens","alias",4
"Bifidobacterium dentium",,4
"Bifidobacterium inopinatum","alias",4
"Bifidobacterium longum infantis",,4
"Bifidobacterium longum longum",,4
"Bifidobacterium pseudocatenulatum",,4
"Bifidobacterium scardovii",,4
"Biophila wadsworthia",,4
"Bordetella bronchiseptica",,2
"Bordetella hinzii",,2
"Bordetella holmesii",,3
"Bordetella parapertussis",,3
"Bordetella pertussis",,3
"Bordetella trematum",,4
"Borrelia afzelii",,2
"Borrelia americana",,3
"Borrelia andersoni",,3
"Borrelia bavariensis",,3
"Borrelia bissettiae",,3
"Borrelia burgdorferi",,1
"Borrelia carolinensis",,3
"Borrelia caucasica",,3
"Borrelia crocidurae",,3
"Borrelia duttonii",,3
"Borrelia garinii",,2
"Borrelia graingeri",,3
"Borrelia hermsii",,3
"Borrelia hispanica",,3
"Borrelia japonica",,3
"Borrelia kurtenbachii",,3
"Borrelia latyschewii",,3
"Borrelia lusitaniae",,3
"Borrelia mazzottii",,3
"Borrelia parkeri",,3
"Borrelia persica",,3
"Borrelia recurrentis",,3
"Borrelia sinica",,3
"Borrelia spielmanii",,3
"Borrelia tanukii",,3
"Borrelia turdi",,3
"Borrelia turicatae",,3
"Borrelia valaisiana",,3
"Borrelia venezuelensis",,3
"Bosea massiliensis",,4
"Brachyspira aalborgi",,4
"Brachyspira pilosicoli",,4
"Bradyrhizobium elkanii",,4
"Branhamella catarrhalis","alias",3
"Brevibacillus brevis",,3
"Brevibacillus centrosporus",,4
"Brevibacillus massiliensis",,4
"Brevibacillus parabrevis",,4
"Brevibacterium casei",,3
"Brevibacterium epidermidis",,4
"Brevibacterium luteolum",,4
"Brevibacterium lutescens","alias",4
"Brevibacterium massiliense",,4
"Brevibacterium mcbrellneri",,4
"Brevibacterium otitidis",,4
"Brevibacterium paucivorans",,4
"Brevundimonas diminuta",,4
"Brevundimonas vancanneytii",,4
"Brevundimonas vesicularis",,3
"Brucella abortus",,1
"Brucella canis",,1
"Brucella ceti",,1
"Brucella inopinata",,3
"Brucella melitensis",,1
"Brucella pinnipedalis",,3
"Brucella suis",,1
"Bulleidia extructa",,4
"Burkholderia ambifaria",,4
"Burkholderia anthina",,4
"Burkholderia cenocepacia",,3
"Burkholderia cepacia",,3
"Burkholderia dolosa",,3
"Burkholderia fungorum",,3
"Burkholderia gladioli",,3
"Burkholderia mallei",,3
"Burkholderia multivorans",,2
"Burkholderia pseudomallei",,1
"Burkholderia pseudomultivorans",,3
"Burkholderia pyrrocinia",,3
"Burkholderia stabilis",,3
"Burkholderia vietnamiensis",,3
"Buttiauxella agrestis",,4
"Buttiauxella noackiae",,4
"Butyrivibrio fibrisolvens",,4
"Calymmatobacterium granulomatis","alias",4
"Campylobacter cinaedi","alias",3
"Campylobacter coli",,3
"Campylobacter concisus",,4
"Campylobacter curvus",,4
"Campylobacter fennelliae","alias",4
"Campylobacter fetus fetus",,3
"Campylobacter fetus testudinum",,3
"Campylobacter fetus venerealis",,3
"Campylobacter gracilis",,4
"Campylobacter hyointestinalis",,4
"Campylobacter jejuni doylei",,2
