"Bacterial_human_pathogens","state","pathogen_class"
"Mycobacterium doricum",,3
"Mycobacterium elephantis",,3
"Mycobacterium engbaekii",,3
"Mycobacterium europaeum",,3
"Mycobacterium flavescens",,3
"Mycobacterium florentinum",,3
"Mycobacterium fortuitum",,3
"Mycobacterium fragae",,3
"Mycobacterium gadium",,3
"Mycobacterium gastri",,3
"Mycobacterium genavense",,3
"Mycobacterium goodii",,3
"Mycobacterium gordonae",,3
"Mycobacterium haemophilum",,3
"Mycobacterium hassiacum",,3
"Mycobacterium heckeshornense",,3
"Mycobacterium heidelbergense",,3
"Mycobacterium heraklionense",,3
"Mycobacterium hodleri",,3
"Mycobacterium holsaticum",,3
"Mycobacterium houstonense",,3
"Mycobacterium immunogenum",,3
"Mycobacterium insubricum",,3
"Mycobacterium interjectum",,3
"Mycobacterium intracellulare",,2
"Mycobacterium iranicum",,3
"Mycobacterium jacuzzii",,3
"Mycobacterium kansasii",,3
"Mycobacterium koreense",,3
"Mycobacterium kubicae",,3
"Mycobacterium kumamotonense",,3
"Mycobacterium kyorense",,3
"Mycobacterium lacus",,3
"Mycobacterium lentiflavum",,3
"Mycobacterium leprae",,3
"Mycobacterium longobardum",,3
"Mycobacterium mageritense",,3
"Mycobacterium malmoense",,3
"Mycobacterium mantenii",,3
"Mycobacterium marinum",,3
"Mycobacterium marseillense",,3
"Mycobacterium microgenicum",,3
"Mycobacterium microti",,1
"Mycobacterium monacense",,3
"Mycobacterium mucogenicum",,3
"Mycobacterium nebraskense",,3
"Mycobacterium neoaurum",,3
"Mycobacterium neworleansense",,3
"Mycobacterium nonchromogenicum",,3
"Mycobacterium noviomagense",,3
"Mycobacterium novocastrense",,3
"Mycobacterium palustre",,3
"Mycobacterium paraense",,3
"Mycobacterium paragordonense",,3
"Mycobacterium parakoreense",,3
"Mycobacterium parascrofulaceum",,3
"Mycobacterium paraseoulense",,3
"Mycobacterium parmense",,3
"Mycobacterium peregrinum",,3
"Mycobacterium phlei",,3
"Mycobacterium phocaicum",,3
"Mycobacterium pinnipedii",,1
"Mycobacterium porcinum",,3
"Mycobacterium riyadhense",,3
"Mycobacterium saskatchewanense",,3
"Mycobacterium scrofulaceum",,3
"Mycobacterium senuense",,3
"Mycobacterium seoulense",,3
"Mycobacterium septicum",,3
"Mycobacterium setense",,3
"Mycobacterium sherrisii",,3
"Mycobacterium shimoidei",,3
"Mycobacterium shinjukuense",,3
"Mycobacterium simiae",,3
"Mycobacterium smegmatis",,3
"Mycobacterium szulgai",,3
"Mycobacterium terrae",,3
"Mycobacterium thermoresistibile",,3
"Mycobacterium timonense",,3
"Mycobacterium triplex",,3
"Mycobacterium triviale",,3
"Mycobacterium tuberculosis",,1
"Mycobacterium tusciae",,3
"Mycobacterium ulcerans",,3
"Mycobacterium vaccae",,3
"Mycobacterium vulneris",,3
"Mycobacterium wolinskyi",,3
"Mycobacterium xenopi",,3
"Mycobacterium yongonense",,3
"Mycoplasma amphoriforme",,4
"Mycoplasma buccale",,4
"Mycoplasma faucium",,4
"Mycoplasma fermentans",,4
"Mycoplasma genitalium",,4
"Mycoplasma hominis",,4
"Mycoplasma lipophilum",,4
"Mycoplasma orale",,4
"Mycoplasma penetrans",,4
"Mycoplasma phocacerebrale","alias",4
"Mycoplasma phocicerebrale",,4
"Mycoplasma pirum",,4
"Mycoplasma pneumoniae",,1
"Mycoplasma primatum",,4
"Mycoplasma salivarium",,3
"Mycoplasma spermatophilum",,4
"Myroides odoratimimus",,3
"Myroides odoratus",,3
"Naxibacter haematophilus","alias",4
"Naxibacter varians","alias",4
"Negativicoccus succinicivorans",,4
"Neisseria animaloris",,4
"Neisseria bacilliformis",,4
"Neisseria canis",,4
"Neisseria cinerea",,4
"Neisseria elongata elongata",,4
"Neisseria elongata glycolytica",,4
"Neisseria elongata nitroreductens",,4
"Neisseria flavescens",,3
"Neisseria gonorrhoeae",,2
"Neisseria lactamica",,3
"Neisseria meningitidis",,1
"Neisseria mucosa",,3
"Neisseria oralis",,3
"Neisseria parelongata","alias",3
"Neisseria polysaccharea",,3
"Neisseria shayeganii",,3
"Neisseria sicca",,3
"Neisseria subflava",,3
"Neisseria wadsworthii",,3
"Neisseria weaveri",,3
"Neisseria zoodegmatis",,3
"Neorickettsia sennetsu",,4
"Nocardia abscessus",,2
"Nocardia africana",,2
"Nocardia amikacinitolerans",,2
"Nocardia anaemiae",,2
"Nocardia aobensis",,2
"Nocardia araoensis",,2
"Nocardia arthritides",,2
"Nocardia asiatica",,2
"Nocardia asteroides",,2
"Nocardia beijingensis",,2
"Nocardia blacklockiae",,2
"Nocardia brasiliensis",,2
"Nocardia brevicatena",,2
"Nocardia carnea",,2
"Nocardia concave",,2
"Nocardia cyriacigeorgica",,2
"Nocardia elegans",,2
"Nocardia exalbida",,2
"Nocardia farcinica",,2
"Nocardia higoensis",,2
"Nocardia inohanensis",,2
"Nocardia kroppenstedtii",,2
"Nocardia kruczakiae",,2
"Nocardia mexicana",,2
"Nocardia mikamii",,2
"Nocardia niigatensis",,2
"Nocardia ninae",,2
"Nocardia niwae",,2
"Nocardia nova",,2
"Nocardia orientalis","alias",2
"Nocardia otitidiscaviarum",,2
"Nocardia paucivorans",,2
"Nocardia pneumoniae",,2
"Nocardia pseudobrasiliensis",,2
"Nocardia puris",,2
"Nocardia sienata",,2
"Nocardia takedensis",,2
"Nocardia terpenica",,2
"Nocardia testaceus",,2
"Nocardia thailandensis",,2
"Nocardia transvalensis",,2
"Nocardia vermiculata",,2
"Nocardia veterana",,2
"Nocardia vulneris",,2
"Nocardia wallacei",,2
"Nocardia yamanashiensis",,2
"Nocardiopsis dassonvillei",,4
"Nocardiopsis synnemataformans",,4
"Ochrobactrum anthropi",,3
"Ochrobactrum haematophilum",,3
"Ochrobactrum intermedium",,3
"Ochrobactrum pseudogrignonense",,3
"Ochrobactrum pseudointermedium",,3
"Odoribacter splanchinicus",,4
"Oerskovi xanthineolytica","alias",4
"Oerskovia turbata",,4
"Oligella ureolytica",,3
"Olsenella uli",,4
"Orientia tsutsugamushi",,1
"Paenibacillus alvei",,3
"Paenibacillus konsidensis",,4
"Paenibacillus macerans",,4
"Paenibacillus polymyxa",,4
"Paenibacillus popilliae",,4
"Paenibacillus provencensis",,4
"Paenibacillus sanguinis",,4
"Paenibacillus sputi",,4
"Paenibacillus timonensis",,4
"Paenibacillus urinalis",,4
"Paenibacillus vulneris",,4
"Pannonibacter phragmitetus",,4
"Pantoea agglomerans",,3
"Pantoea ananatis",,3
"Pantoea brenneri",,3
"Pantoea conspicua",,3
"Pantoea dispersa",,3
"Pantoea eucrina",,3
"Pantoea septica",,3
"Parabacteroides distasonis",,4
"Parabacteroides goldsteinii",,4
"Parabacteroides merdae",,4
"Parachlamydia acanthamoebae",,4
"Paracoccus sanguinis",,4
"Paracoccus yeei",,4
"Parascardovia denticolens",,4
"Parvimonas micra",,3
"Pasteurella aerogenes",,2
"Pasteurella bettyae",,2
"Pasteurella canis",,2
"Pasteurella dagmatis",,2
"Pasteurella gallinarum",,2
"Pasteurella haemolytica",,2
"Pasteurella multocida gallicida",,1
"Pasteurella multocida multocida",,1
"Pasteurella multocida septica",,1
"Pasteurella pneumotropica",,2
"Pasteurella stomatis",,2
"Pasteurella ureae","alias",2
"Pediococcus acidilactici",,4
"Pediococcus damnosus",,4
"Pediococcus dextrinicus",,4
"Pediococcus parvulus",,4
"Pediococcus pentosaceus",,3
"Peptococcus niger",,3
"Peptoniphilus asaccharolyticus",,3
"Peptoniphilus coxii",,4
"Peptoniphilus duerdenii",,4
"Peptoniphilus gorbachii",,4
"Peptoniphilus harei",,4
"Peptoniphilus indolyticus",,4
"Peptoniphilus ivorii",,4
"Peptoniphilus koenoeneniae",,4
"Peptoniphilus lacrimalis",,4
"Peptoniphilus olsenii",,4
"Peptoniphilus tyrrelliae",,4
"Peptostreptococcus anaerobius",,4
"Peptostreptococcus magnus","alias",4
"Peptostreptococcus micros","alias",4
"Peptostreptococcus productus","alias",4
"Peptostreptococcus stomatis",,4
"Peptostreptococcus trisimilis",,4
"Phocaeicola abscessus",,4
"Phocaeicola damselae",,4
"Plesiomonas shigelloides",,3
"Porphyromonas asaccharolytica",,4
"Porphyromonas bennonis",,4
"Porphyromonas cangingivalis",,4
"Porphyromonas canoris",,4
"Porphyromonas cansulci",,4
"Porphyromonas catoniae",,4
"Porphyromonas circumdentaria",,4
"Porphyromonas crevioricanis",,4
"Porphyromonas endodontalis",,4
"Porphyromonas gingivalis",,4
"Porphyromonas gingivicanis",,4
"Porphyromonas levii",,4
"Porphyromonas macacae",,4
"Porphyromonas somerae",,4
,,4
"Prevotella amnii",,3
"Prevotella bergensis",,3
"Prevotella bivia",,3
"Prevotella buccae",,3
"Prevotella buccalis",,3
"Prevotella corporis",,3
"Prevotella dentalis",,3
"Prevotella denticola",,3
"Prevotella disiens",,3
"Prevotella enoeca",,3
"Prevotella heparinolytica",,3
"Prevotella intermedia",,3
"Prevotella loeschii",,3
"Prevotella melaninogenica",,3
"Prevotella multiformis",,3
"Prevotella multisaccharivorax",,3
"Prevotella nanceiensis",,3
"Prevotella nigrescens",,3
"Prevotella oralis",,3
"Prevotella oris",,3
"Prevotella oulorum",,3
"Prevotella pleuritidis",,3
"Prevotella timonensis",,3
"Prevotella veroralis",,3
"Prevotella zoogleoformans",,3
"Propionibacterium acnes",,3
"Propionibacterium avidum",,4
"Propionibacterium granulosum",,4
"Propionibacterium lymphophilum","alias",4
"Propionibacterium propionicum",,4
"Propionimicrobium lymphophilum",,4
"Proteus mirabilis",,3
"Proteus penneri",,3
"Proteus vulgaris",,3
"Providencia alcalifaciens",,3
"Providencia rettgeri",,3
"Providencia rustigianii",,3
"Providencia stuartii",,3
"Pseudomonas aeruginosa",,3
"Pseudomonas alcaligenes",,3
"Pseudomonas cepacia","alias",3
"Pseudomonas chlororaphis",,3
"Pseudomonas fluorescens",,3
"Pseudomonas gladioli","alias",3
"Pseudomonas luteola",,3
"Pseudomonas mallei","alias",3
"Pseudomonas maltophila","alias",3
"Pseudomonas mendocina",,3
"Pseudomonas mesophilica","alias",3
"Pseudomonas monteilii",,3
"Pseudomonas mosselii",,3
"Pseudomonas oleovorans",,3
"Pseudomonas oryzihabitans",,3
"Pseudomonas otitidis",,3
"Pseudomonas paucimobilis","alias",3
"Pseudomonas pertocinogena",,3
"Pseudomonas pickettii","alias",3
"Pseudomonas pseudalcaligenes","alias",3
"Pseudomonas pseudomallei","alias",3
"Pseudomonas putida",,3
"Pseudomonas putrefaciens","alias",3
"Pseudomonas stutzeri",,3
"Pseudonocardia autotrophica",,4
"Pseudoramibacter alactolyticus",,4
"Psychrobacter faecalis",,4
"Psychrobacter immobilis",,4
"Psychrobacter phenylpyruvicus",,4
"Psychrobacter pulmonis",,4
"Psychrobacter sanguinis",,4
"Rahnella aquatilis",,3
"Ralstonia insidiosa",,3
"Ralstonia mannitolilytica",,3
"Ralstonia pickettii",,3
"Ralstonia taiwanensis",,3
"Raoultella ornithinolytica",,3
"Raoultella planticola",,3
"Raoultella terrigena",,3
"Rasbo bacterium",,0
"Rhodococcus equi","alias",2
"Rhodococcus hoagi",,2
"Rickettsia africae",,1
"Rickettsia akari",,1
"Rickettsia australis",,1
"Rickettsia conorii",,1
"Rickettsia felis",,1
"Rickettsia helvetica",,1
"Rickettsia honei",,2
"Rickettsia japonica",,1
"Rickettsia mongolotimonae",,2
"Rickettsia prowazekii",,1
"Rickettsia raoultii",,1
"Rickettsia rickettsiae",,1
"Rickettsia sibirica",,2
"Rickettsia slovaca",,1
"Rickettsia tsutsugamushi","alias",1
"Rickettsia typhi",,1
"Rochalimaea elizabethae","alias",4
"Rochalimaea henselae","alias",4
"Rochalimaea quintana","alias",4
"Roseomonas cervicalis",,4
"Roseomonas fauriae","alias",4
"Roseomonas gilardi ssp. Rosea",,4
"Roseomonas gilardii","ssp",4
"Roseomonas gilardii ssp. Gilardii",,4
"Roseomonas mucosa",,3
"Rothia dentocariosa",,2
"Rothia mucilaginosa",,2
"Ruminococcus flavefaciens",,4
"Ruminococcus hansenii",,4
"Ruminococcus luti",,4
"Ruminococcus productus",,4
"Saccharopolyspora rosea",,4
"Salmonella bongori",,3
"Salmonella choleraesuis","ssp",3
"Salmonella choleraesuis ssp. arizonae",,3
"Salmonella choleraesuis ssp. choleraesuis",,3
"Salmonella choleraesuis ssp. diarizonae",,3
"Salmonella choleraesuis ssp. houtenae",,3
"Salmonella choleraesuis ssp. indica",,3
"Salmonella choleraesuis ssp. salamae",,3
"Salmonella enterica","ssp",2
"Salmonella enterica ssp. arizonae",,2
"Salmonella enterica ssp. diarizonae",,2
"Salmonella enterica ssp. enterica",,2
"Salmonella enterica ssp. houtenae",,2
"Salmonella enterica ssp. indica",,2
"Salmonella enterica ssp. salamae",,2
"Salmonella enteritidis",,2
"Salmonella paratyphi",,1
"Salmonella typhi",,1
"Salmonella typhimurium",,2
"Scardovia inopinata",,4
"Scardovia wiggsiae",,4
"Selenomonas artemidis",,4
"Selenomonas dianae",,4
"Selenomonas flueggei",,4
"Selenomonas infelix",,4
"Selenomonas noxia",,4
"Selenomonas sputigena",,4
"Serpulina pilosicoli","alias",4
"Serratia ficaria",,3
"Serratia fonticola",,3
"Serratia grimesii",,3
"Serratia liquefaciens",,3
"Serratia marcescens",,3
"Serratia odorifera",,4
"Serratia plymuthica",,4
"Serratia proteamaculans",,4
"Serratia quinivorans",,4
"Serratia rubidaea",,4
"Shewanella algae",,2
"Shewanella putrefaciens",,2
"Shigella boydii",,2
"Shigella dysenteriae",,2
"Shigella flexneri",,2
"Shigella sonnei",,2
"Simkania negevensis",,4
"Slackia exigua",,3
"Sneathia sanguinegens",,3
"Sphingobacterium mizutae","alias",4
"Sphingobacterium multivorum",,3
"Sphingobacterium spiritivorum",,4
"Sphingobacterium thalpophilum",,4
"Sphingomonas parapaucimobilis",,4
"Sphingomonas paucimobilis",,3
"Sphingomonas sanguinis",,4
"Sphingomonas sanguis","alias",4
"Sphingomonas yanoikuyae",,3
"Spirillum minus",,3
"Staphylococcus argenteus",,3
"Staphylococcus aureus",,1
"Staphylococcus auricularis",,3
"Staphylococcus capitis capitis",,3
"Staphylococcus capitis ureolyticus",,3
"Staphylococcus caprae",,3
"Staphylococcus cohnii cohnii",,3
"Staphylococcus cohnii urealyticus",,3
"Staphylococcus delphini",,3
"Staphylococcus epidermidis",,3
"Staphylococcus equorum",,3
"Staphylococcus gallinarum",,3
"Staphylococcus haemolyticus",,3
"Staphylococcus hominis hominis",,3
"Staphylococcus hominis novobiosepticius",,3
"Staphylococcus hyicus",,3
"Staphylococcus intermedius",,3
"Staphylococcus jettensis",,3
"Staphylococcus lugdunensis",,3
"Staphylococcus massiliensis",,3
"Staphylococcus pasteuri",,3
"Staphylococcus petrasii",,3
"Staphylococcus pettenkoferi",,3
"Staphylococcus pulvereri",,3
"Staphylococcus saccharolyticus",,3
"Staphylococcus saprophyticus",,3
"Staphylococcus schleiferi coagulans",,3
"Staphylococcus schleiferi schleiferi",,3
"Staphylococcus sciuri",,3
"Staphylococcus simulans",,3
"Staphylococcus vitulinus",,3
"Staphylococcus warneri",,3
"Staphylococcus xylosus",,3
"Stenotrophomonas africana","alias",3
"Stenotrophomonas maltophilia",,3
"Stomatobaculum longum",,4
"Stomatococcus mucilaginosus","alias",3
"Streptobacillus hongkongensis",,4
"Streptobacillus moniliformis",,3
"Streptococcus acidominimus",,3
"Streptococcus agalactiae",,2
"Streptococcus anginosus",,2
"Streptococcus bovis","alias",2
"Streptococcus canis",,2
"Streptococcus constellatus constellatus",,2
"Streptococcus constellatus pharyngis",,2
"Streptococcus criceti",,2
"Streptococcus cristatus",,2
"Streptococcus dysgalactiae dysgalactiae",,2
"Streptococcus dysgalactiae equisimilis",,2
"Streptococcus equi equi",,2
"Streptococcus equi zooepidemicus",,2
"Streptococcus equinus",,2
"Streptococcus gallolyticus","ssp",2
"Streptococcus gallolyticus ssp. gallolyticus",,2
"Streptococcus gallolyticus ssp. pateurianus",,2
"Streptococcus gordonii",,2
"Streptococcus hansenii","alias",2
"Streptococcus hongkongensis",,2
"Streptococcus infantarius","ssp",2
"Streptococcus infantarius ssp. coli",,2
"Streptococcus infantarius ssp. infantarius",,2
"Streptococcus iniae",,2
"Streptococcus intermedius",,2
"Streptococcus lutetiensis",,2
"Streptococcus massiliensis",,2
"Streptococcus mitis",,2
"Streptococcus morbillorum","alias",2
"Streptococcus mutans",,2
"Streptococcus oralis",,2
"Streptococcus parasanguinis",,2
"Streptococcus parvulus","alias",2
"Streptococcus pasteurianus",,2
"Streptococcus pneumoniae",,1
"Streptococcus porcinus",,2
"Streptococcus pseudopneumoniae",,2
"Streptococcus pseudoporcinus",,2
"Streptococcus pyogenes",,1
"Streptococcus ratti",,2
"Streptococcus salivarius",,2
"Streptococcus sanguinis",,2
"Streptococcus shiloi","alias",2
"Streptococcus sinensis",,2
"Streptococcus sobrinus",,2
"Streptococcus suis",,1
"Streptococcus tigurinus",,2
"Streptococcus urinalis",,2
"Streptococcus vestibularis",,2
"Streptomyces albus",,3
"Streptomyces anulatus",,3
"Streptomyces bikiniensis",,3
"Streptomyces griseus",,3
"Streptomyces paraguayensis",,3
"Streptomyces somaliensis",,3
"Succinivibrio dextrinosolvens",,4
"Sutterella wadsworthensis",,4
"Suttonella indologenes",,4
"Tannerella forsythensis",,4
"Tannerella forsythia","alias",4
"Tannerella forsythus","alias",4
"Tatumella ptyseos",,4
"Tatumella saanichensis",,4
"Terrisporobacter glycolicus",,4
"Tetragenococcus solitarius",,4
"Tissierella praeacuta",,4
"Trabulsiella guamensis",,4
"Treponema amylovorum",,4
"Treponema carateum",,4
"Treponema denticola",,4
"Treponema lecithinolyticum",,4
"Treponema maltophilum",,4
"Treponema medium",,4
"Treponema minutum",,4
"Treponema pallidum",,1
"Treponema pallidum endemicum",,4
"Treponema parvum",,4
"Treponema pectinovorum",,4
"Treponema pertenue",,4
"Treponema phagedenis",,4
"Treponema putidum",,4
"Treponema refringens",,4
"Treponema scoliodontum",,4
"Treponema socranskii",,4
"Treponema vincentii",,4
"Treponema pallidum pertenue","alias",4
"Tropheryma whippelii","alias",1
"Tropheryma whipplei",,1
"Trueperella bernardiae",,4
"Trueperella pyogenes",,4
"Tsukamurella inchonensis",,4
"Tsukamurella paurometabola",,4
"Tsukamurella pulmonis",,4
"Tsukamurella strandjordae","alias",4
"Tsukamurella strandjordii",,4
"Tsukamurella tyrosinosolvens",,4
"Turicella otitidis",,4
"Ureaplasma parvum",,2
"Ureaplasma urealyticum",,2
"Vagococcus fluvialis",,4
"Varibaculum cambriensis",,4
"Veillonella atypical",,3
"Veillonella dentocariosi",,3
"Veillonella dipsar",,3
"Veillonella montpellierensis",,3
"Veillonella parvula",,2
"Veillonella rogosae",,3
"Vibrio alginolyticus",,3
"Vibrio carchariae","alias",3
"Vibrio cholerae",,2
"Vibrio cincinnatiensis",,3
"Vibrio damsela","alias",3
"Vibrio fluvialis",,3
"Vibrio furnissii",,3
"Vibrio harveyi",,3
"Vibrio hollisae","alias",3
"Vibrio metschnikovii",,3
"Vibrio mimicus",,3
"Vibrio parahaemolyticus",,3
"Vibrio vulnificus",,3
"Wautersiella falsenii",,4
"Weeksella zoohelcum","alias",3
"Weissella confusa",,3
"Williamsia muralis",,4
"Wohlfahrtiimonas chitiniclastica",,3
"Wolinella curva","alias",4
"Wolinella recta","alias",3
"Xanthomonas campestris",,3
"Xanthomonas maltophila","alias",3
"Yersinia aldovae",,4
"Yersinia bercovieri",,4
"Yersinia enterocolitica",,2
"Yersinia frederiksenii",,4
"Yersinia intermedia",,4
"Yersinia kristensenii",,4
"Yersinia mollaretii",,4
"Yersinia pestis",,2
"Yersinia pseudotuberculosis",,2
"Yersinia rohdei",,4
"Yersinia similis",,4
"Yersinia wautersii",,4
"Yersinia philomiragia","alias",4
"Yokenella regensburgei",,4
